record_id,equipment_id,equipment_type,manufacturer,model_year,mine_type,country,operating_hours,event_date,event_type,failure_mode,component_failed,severity,downtime_hours,repair_cost_usd,production_loss_tonnes,maintenance_type,was_scheduled,days_since_last_service,oil_analysis_flag,vibration_flag,temperature_flag
EQP-6DD6D052,UNIT-8033,grader,Caterpillar,2008,underground,tanzania,63895,2023-01-30,inspection,preventive,inspection,routine,2.7,1947.49,51.0,preventive,True,187,False,False,False
EQP-D99398FD,UNIT-6794,haul_truck,Caterpillar,2008,open_pit,drc,63694,2023-03-16,inspection,preventive,adjustment,routine,2.2,5095.06,289.0,preventive,True,10,False,False,False
EQP-E0966AD6,UNIT-4621,grader,Komatsu,2009,underground,botswana,61906,2023-07-30,scheduled_maintenance,preventive,oil_change,routine,3.2,1838.55,37.0,preventive,True,134,True,False,False
EQP-2FC015B3,UNIT-8404,grader,Komatsu,2010,open_pit,tanzania,54929,2021-02-24,breakdown,tires,front_left,major,22.1,22949.26,259.0,corrective,False,40,False,False,False
EQP-8205EC56,UNIT-5908,loader,Komatsu,2013,underground,drc,45233,2020-07-01,overhaul,transmission,driveshaft,major,24.3,39550.09,1785.0,major_overhaul,True,32,True,True,False
EQP-A83E749F,UNIT-4990,conveyor,ThyssenKrupp,2022,open_pit,ghana,9021,2024-11-16,condition_based,gearbox,general_component,minor,2.9,3944.6,740.0,predictive,False,46,True,True,False
EQP-433994D1,UNIT-5053,conveyor,ThyssenKrupp,2022,open_pit,zimbabwe,7774,2021-07-29,overhaul,pulley,general_component,major,10.7,19051.57,2730.0,major_overhaul,True,88,False,False,False
EQP-3073D525,UNIT-3044,conveyor,FLSmidth,2009,underground,zimbabwe,59967,2024-09-03,scheduled_maintenance,preventive,adjustment,routine,1.9,2256.64,595.0,preventive,True,37,False,False,False
EQP-9B009935,UNIT-1829,crusher,Metso,2023,open_pit,south_africa,3963,2021-04-28,overhaul,motor,general_component,major,41.8,141968.11,6939.0,major_overhaul,True,19,False,True,False
EQP-89043B16,UNIT-5990,haul_truck,Belaz,2018,open_pit,south_africa,24181,2021-04-22,breakdown,tires,front_right,minor,6.0,18106.82,696.0,corrective,False,16,False,False,False
EQP-6EC8326F,UNIT-8990,pump,Metso,2016,open_pit,south_africa,31405,2020-02-14,scheduled_maintenance,preventive,oil_change,routine,1.4,869.51,73.0,preventive,True,26,False,False,False
EQP-0111CD48,UNIT-1574,conveyor,ThyssenKrupp,2020,processing_plant,zimbabwe,15571,2022-03-06,scheduled_maintenance,preventive,adjustment,routine,1.7,1264.79,529.0,preventive,True,53,False,False,False
EQP-3CB8BBE0,UNIT-8723,loader,Volvo,2015,open_pit,zimbabwe,35644,2024-08-27,breakdown,tires,rear_left,critical,38.9,101104.02,2058.0,corrective,False,39,True,False,False
EQP-396B4208,UNIT-8447,excavator,Komatsu,2012,underground,south_africa,47676,2024-05-29,breakdown,bucket,general_component,minor,6.6,27956.4,1010.0,corrective,False,21,False,False,False
EQP-2FD77B22,UNIT-3490,haul_truck,Hitachi,2016,processing_plant,drc,31689,2021-07-02,breakdown,electrical,wiring,critical,55.7,105311.39,5651.0,corrective,False,41,False,True,False
EQP-0CBEC397,UNIT-6684,drill_rig,Sandvik,2019,underground,zimbabwe,17759,2022-01-01,breakdown,drill_string,general_component,critical,51.5,97726.3,1394.0,corrective,False,42,False,False,False
EQP-ECAE2D8D,UNIT-2486,drill_rig,Caterpillar,2018,open_pit,botswana,24097,2023-04-20,overhaul,drill_string,general_component,major,11.7,25117.76,396.0,major_overhaul,True,130,False,False,False
EQP-B8587403,UNIT-7822,drill_rig,Sandvik,2010,underground,south_africa,55472,2024-09-14,overhaul,electrical,alternator,major,14.2,26158.14,355.0,major_overhaul,True,51,False,False,False
EQP-7AE0F851,UNIT-7304,excavator,Hitachi,2023,open_pit,ghana,2133,2022-12-23,inspection,preventive,inspection,routine,5.3,7371.65,967.0,preventive,True,49,False,False,False
EQP-CB05D3CC,UNIT-4190,haul_truck,Komatsu,2012,underground,ghana,47649,2020-12-26,overhaul,transmission,gearbox,major,12.3,74673.29,1258.0,major_overhaul,True,56,True,False,False
EQP-849A59B9,UNIT-1611,conveyor,Metso,2021,open_pit,zambia,11619,2021-10-03,inspection,preventive,filter_replace,routine,1.2,1850.84,500.0,preventive,True,22,False,False,False
EQP-B504153B,UNIT-9735,excavator,Komatsu,2012,underground,south_africa,49275,2023-07-27,overhaul,engine,oil_pump,major,23.5,54646.46,4016.0,major_overhaul,True,42,False,False,True
EQP-7636ED7D,UNIT-5010,pump,KSB,2009,processing_plant,south_africa,59460,2020-02-12,breakdown,motor,general_component,minor,4.9,4445.95,381.0,corrective,False,83,False,True,False
EQP-4109C499,UNIT-9037,haul_truck,Caterpillar,2023,open_pit,tanzania,4667,2022-12-15,breakdown,tires,front_right,major,20.0,58257.52,2383.0,corrective,False,16,False,True,False
EQP-772FE08D,UNIT-7100,excavator,Komatsu,2017,open_pit,drc,29382,2023-10-16,inspection,preventive,adjustment,minor,15.9,36021.72,2272.0,preventive,True,84,False,False,False
EQP-096675DF,UNIT-8004,excavator,Caterpillar,2011,open_pit,south_africa,51371,2021-09-15,scheduled_maintenance,preventive,filter_replace,routine,4.4,7714.01,619.0,preventive,True,40,True,False,False
EQP-E89D56AE,UNIT-7838,conveyor,Metso,2008,underground,ghana,63952,2022-08-28,condition_based,motor,general_component,routine,1.1,790.75,359.0,predictive,False,34,False,True,False
EQP-20D5314A,UNIT-2751,drill_rig,Sandvik,2010,open_pit,south_africa,57728,2023-07-16,scheduled_maintenance,preventive,inspection,routine,2.0,3415.7,54.0,preventive,True,1,False,False,False
EQP-45ED40AE,UNIT-4274,crusher,Sandvik,2010,underground,ghana,56228,2022-12-07,scheduled_maintenance,preventive,inspection,minor,21.5,23872.93,4352.0,preventive,True,8,True,False,False
EQP-7C435606,UNIT-5200,pump,KSB,2022,underground,drc,8373,2020-02-13,breakdown,motor,general_component,major,10.0,12491.92,731.0,corrective,False,4,False,True,False
EQP-ADBD88CD,UNIT-5479,excavator,Hitachi,2010,processing_plant,south_africa,55592,2022-11-19,condition_based,undercarriage,general_component,minor,17.4,38944.64,1973.0,predictive,False,135,True,False,False
EQP-6267C331,UNIT-1394,crusher,FLSmidth,2010,open_pit,south_africa,56687,2021-02-19,scheduled_maintenance,preventive,inspection,routine,8.1,13704.98,2318.0,preventive,True,18,False,False,False
EQP-51B9F9A4,UNIT-5918,haul_truck,Hitachi,2021,open_pit,tanzania,11960,2023-08-24,scheduled_maintenance,preventive,inspection,routine,3.1,3040.64,234.0,preventive,True,109,False,False,False
EQP-8ABFFA6E,UNIT-2388,excavator,Komatsu,2022,open_pit,tanzania,6167,2021-04-15,scheduled_maintenance,preventive,filter_replace,routine,3.0,7828.33,367.0,preventive,True,51,True,False,False
EQP-CCB93AC3,UNIT-7689,drill_rig,Caterpillar,2011,underground,south_africa,51644,2024-10-26,scheduled_maintenance,preventive,adjustment,minor,6.4,9942.79,269.0,preventive,True,5,False,False,False
EQP-C2C85256,UNIT-7146,haul_truck,Caterpillar,2018,open_pit,zambia,22816,2020-07-30,scheduled_maintenance,preventive,inspection,routine,3.3,1547.15,451.0,preventive,True,25,True,True,False
EQP-248513DA,UNIT-9301,conveyor,ThyssenKrupp,2016,open_pit,south_africa,32112,2024-05-22,condition_based,belt,general_component,routine,1.7,2200.23,626.0,predictive,False,37,False,False,False
EQP-9A090B36,UNIT-7702,crusher,Metso,2017,open_pit,tanzania,27083,2020-03-02,scheduled_maintenance,preventive,oil_change,routine,11.8,12869.92,2812.0,preventive,True,86,False,False,False
EQP-C4EBFD24,UNIT-4299,loader,Volvo,2012,underground,tanzania,48478,2023-05-14,overhaul,tires,rear_left,major,29.8,34589.75,1897.0,major_overhaul,True,3,False,False,False
EQP-51213139,UNIT-9706,drill_rig,Sandvik,2020,processing_plant,zambia,16044,2021-09-27,scheduled_maintenance,preventive,adjustment,minor,6.1,16581.4,298.0,preventive,True,12,False,True,False
EQP-F4D26B61,UNIT-4697,conveyor,Metso,2022,open_pit,zambia,6751,2020-12-17,overhaul,roller,general_component,major,11.2,10472.31,4604.0,major_overhaul,True,19,True,False,False
EQP-3B43867B,UNIT-3932,excavator,Komatsu,2019,open_pit,ghana,19507,2021-01-27,inspection,preventive,inspection,routine,5.1,6318.27,577.0,preventive,True,54,False,False,False
EQP-7F4F6C80,UNIT-9148,haul_truck,Hitachi,2022,open_pit,south_africa,8620,2020-03-10,inspection,preventive,adjustment,routine,2.9,7389.5,378.0,preventive,True,7,True,False,False
EQP-6BBA66A1,UNIT-4333,haul_truck,Caterpillar,2009,open_pit,drc,61147,2020-08-27,condition_based,transmission,gearbox,routine,1.7,6230.87,144.0,predictive,False,4,True,False,False
EQP-65F93B93,UNIT-1687,crusher,Metso,2018,processing_plant,south_africa,23097,2021-12-06,scheduled_maintenance,preventive,oil_change,routine,11.8,9906.75,2484.0,preventive,True,56,True,False,False
EQP-957CC4C2,UNIT-5225,pump,Metso,2023,open_pit,zimbabwe,2902,2020-10-10,scheduled_maintenance,preventive,filter_replace,minor,5.9,4194.93,440.0,preventive,True,74,False,False,False
EQP-295C4C82,UNIT-8160,haul_truck,Hitachi,2016,underground,drc,33950,2024-10-08,scheduled_maintenance,preventive,oil_change,routine,2.8,5912.06,362.0,preventive,True,32,False,False,False
EQP-2D5F5567,UNIT-2705,conveyor,ThyssenKrupp,2023,processing_plant,south_africa,3990,2024-01-27,breakdown,gearbox,general_component,critical,21.6,98155.64,10780.0,corrective,False,29,False,True,False
EQP-9B223007,UNIT-5166,loader,Komatsu,2013,underground,zambia,44091,2022-04-30,breakdown,hydraulics,pump,major,16.7,30916.35,1145.0,corrective,False,94,True,False,False
EQP-72D6FFAF,UNIT-2169,loader,Komatsu,2022,open_pit,tanzania,7260,2020-06-19,breakdown,engine,head_gasket,major,15.8,25783.2,1324.0,corrective,False,24,False,False,True
EQP-8AE0F3D8,UNIT-7177,conveyor,FLSmidth,2023,underground,zambia,4215,2024-11-10,condition_based,motor,general_component,routine,1.8,1254.53,753.0,predictive,False,31,False,True,True
EQP-A8548F35,UNIT-5280,conveyor,ThyssenKrupp,2017,open_pit,drc,29715,2023-07-28,breakdown,gearbox,general_component,major,8.5,17753.1,2516.0,corrective,False,20,False,False,False
EQP-60EC4EDD,UNIT-3971,crusher,Metso,2019,open_pit,tanzania,20254,2020-11-25,scheduled_maintenance,preventive,oil_change,routine,8.9,5942.62,2193.0,preventive,True,5,True,False,False
EQP-A21FC492,UNIT-3041,loader,Caterpillar,2016,processing_plant,south_africa,33064,2020-04-07,breakdown,electrical,starter,major,19.5,46196.18,1832.0,corrective,False,120,False,False,False
EQP-D6D742D7,UNIT-6079,haul_truck,Caterpillar,2013,open_pit,zambia,44028,2023-01-20,breakdown,brakes,general_component,major,19.4,43764.07,2264.0,corrective,False,118,False,False,True
EQP-AFD2652E,UNIT-7027,grader,Caterpillar,2016,open_pit,drc,30974,2020-03-14,scheduled_maintenance,preventive,filter_replace,minor,10.1,15783.03,149.0,preventive,True,86,False,False,False
EQP-9279872F,UNIT-9461,haul_truck,Komatsu,2023,open_pit,south_africa,3316,2023-01-10,inspection,preventive,oil_change,minor,11.1,13470.31,1372.0,preventive,True,13,True,False,False
EQP-9A51FC11,UNIT-4933,loader,Volvo,2008,open_pit,botswana,62882,2022-03-07,scheduled_maintenance,preventive,oil_change,routine,3.5,5054.3,316.0,preventive,True,11,False,False,False
EQP-FF8F12D9,UNIT-2446,haul_truck,Hitachi,2011,underground,drc,52217,2024-05-03,inspection,preventive,inspection,routine,2.3,7287.82,211.0,preventive,True,71,False,False,False
EQP-7A4D6B72,UNIT-8493,haul_truck,Komatsu,2015,underground,ghana,37223,2021-11-18,breakdown,engine,turbo,major,12.9,52479.52,1125.0,corrective,False,11,False,True,False
EQP-0EA7AAF6,UNIT-6667,haul_truck,Caterpillar,2013,underground,south_africa,44161,2022-03-17,scheduled_maintenance,preventive,inspection,routine,3.6,2695.52,446.0,preventive,True,4,True,False,False
EQP-3DF830A1,UNIT-7301,drill_rig,Epiroc,2017,open_pit,botswana,27692,2022-09-09,breakdown,drill_string,general_component,major,16.7,46711.4,432.0,corrective,False,86,False,False,False
EQP-8ABBA3B7,UNIT-1874,excavator,Komatsu,2013,open_pit,tanzania,43210,2024-11-04,scheduled_maintenance,preventive,filter_replace,routine,3.7,5218.72,675.0,preventive,True,5,False,False,False
EQP-933B3C98,UNIT-3810,haul_truck,Belaz,2018,open_pit,south_africa,24355,2023-06-18,breakdown,tires,front_left,major,14.5,54485.6,1416.0,corrective,False,70,True,False,False
EQP-49806335,UNIT-7909,drill_rig,Epiroc,2009,underground,zambia,58761,2023-04-19,breakdown,compressor,general_component,major,15.1,21471.2,419.0,corrective,False,52,False,False,False
EQP-E2242B1E,UNIT-8489,drill_rig,Epiroc,2013,underground,south_africa,42865,2021-07-11,condition_based,hydraulics,hose,routine,2.6,2392.42,115.0,predictive,False,6,False,False,False
EQP-9DC546E1,UNIT-4916,loader,Volvo,2019,underground,zimbabwe,20900,2022-05-19,condition_based,electrical,battery,routine,4.2,3868.58,257.0,predictive,False,32,True,False,False
EQP-E940FD52,UNIT-8242,grader,Caterpillar,2015,processing_plant,drc,35722,2020-12-15,breakdown,blade,general_component,minor,4.6,12315.83,64.0,corrective,False,94,False,False,False
EQP-D87020F0,UNIT-8574,crusher,Sandvik,2019,underground,south_africa,19702,2021-12-05,inspection,preventive,inspection,routine,11.9,14413.75,2524.0,preventive,True,11,False,False,False
EQP-B41BC2FE,UNIT-4486,haul_truck,Hitachi,2018,open_pit,zambia,23830,2024-01-19,condition_based,engine,injector,routine,2.9,5000.98,396.0,predictive,False,32,False,False,False
EQP-DEEB97B0,UNIT-9081,excavator,Komatsu,2013,underground,botswana,44725,2020-06-28,scheduled_maintenance,preventive,inspection,routine,4.6,4171.19,582.0,preventive,True,8,False,False,False
EQP-DE16D037,UNIT-3594,grader,Caterpillar,2014,underground,ghana,40165,2020-10-24,scheduled_maintenance,preventive,oil_change,routine,1.7,2582.94,28.0,preventive,True,150,False,False,False
EQP-26FD23A8,UNIT-3155,haul_truck,Komatsu,2023,processing_plant,south_africa,3256,2022-11-20,breakdown,hydraulics,pump,minor,4.1,9095.73,615.0,corrective,False,43,False,False,True
EQP-3D2B3823,UNIT-7141,drill_rig,Sandvik,2023,open_pit,botswana,3292,2023-12-08,inspection,preventive,oil_change,routine,1.4,1592.39,56.0,preventive,True,33,False,False,False
EQP-577F8110,UNIT-6730,pump,KSB,2008,underground,south_africa,63804,2024-10-21,scheduled_maintenance,preventive,adjustment,routine,1.3,962.94,74.0,preventive,True,119,True,False,False
EQP-C07A2327,UNIT-2257,pump,Weir,2019,open_pit,drc,20302,2022-11-22,breakdown,seal,general_component,minor,5.8,2133.54,372.0,corrective,False,42,False,False,False
EQP-6E782A93,UNIT-8493,drill_rig,Sandvik,2015,underground,drc,35964,2023-03-28,breakdown,hydraulics,filter,critical,48.6,61298.63,1865.0,corrective,False,40,False,False,False
EQP-21681CDB,UNIT-2798,crusher,FLSmidth,2008,processing_plant,south_africa,63875,2021-06-04,breakdown,bearing,general_component,major,72.0,60660.87,14281.0,corrective,False,91,False,False,True
EQP-194A28DB,UNIT-8243,drill_rig,Epiroc,2018,processing_plant,south_africa,24046,2022-01-07,scheduled_maintenance,preventive,inspection,minor,7.1,7726.84,269.0,preventive,True,22,False,False,False
EQP-D97E3622,UNIT-1066,loader,Volvo,2008,open_pit,south_africa,63963,2021-07-19,scheduled_maintenance,preventive,adjustment,routine,2.3,5162.59,177.0,preventive,True,55,False,False,False
EQP-52E9EE02,UNIT-8170,haul_truck,Hitachi,2013,open_pit,south_africa,43219,2020-07-15,overhaul,transmission,gearbox,major,20.3,45813.15,2642.0,major_overhaul,True,39,True,True,False
EQP-A20FEC3F,UNIT-8081,haul_truck,Komatsu,2019,underground,drc,21107,2021-10-29,breakdown,electrical,starter,major,19.7,70610.34,2398.0,corrective,False,25,False,False,False
EQP-E92ECCC8,UNIT-8022,conveyor,FLSmidth,2021,underground,tanzania,11517,2021-01-26,scheduled_maintenance,preventive,adjustment,minor,5.5,9137.03,2335.0,preventive,True,24,False,False,False
EQP-1C2A3F40,UNIT-6982,haul_truck,Caterpillar,2014,processing_plant,south_africa,40129,2022-11-29,breakdown,electrical,sensors,major,18.5,68855.53,1690.0,corrective,False,7,True,False,False
EQP-8F5165E1,UNIT-5243,crusher,Sandvik,2020,open_pit,zimbabwe,13939,2023-09-18,scheduled_maintenance,preventive,inspection,minor,17.9,24534.06,3821.0,preventive,True,23,True,False,False
EQP-6973DF46,UNIT-7345,excavator,Hitachi,2021,processing_plant,drc,11784,2024-10-29,condition_based,electrical,starter,routine,5.0,4739.14,913.0,predictive,False,4,False,False,False
EQP-340F31CB,UNIT-3493,grader,Komatsu,2015,underground,south_africa,34900,2024-05-03,overhaul,tires,rear_right,major,21.0,27239.92,368.0,major_overhaul,True,45,True,False,False
EQP-EE4B37CC,UNIT-8025,loader,Volvo,2010,open_pit,drc,55020,2021-07-26,condition_based,tires,front_left,routine,3.5,3271.65,207.0,predictive,False,8,False,True,False
EQP-3CF4F296,UNIT-6000,drill_rig,Sandvik,2018,open_pit,ghana,26422,2024-08-16,breakdown,hydraulics,pump,major,9.9,22397.01,263.0,corrective,False,3,True,False,False
EQP-5A4D977F,UNIT-5129,loader,Caterpillar,2008,underground,zambia,64249,2024-08-22,inspection,preventive,oil_change,minor,9.1,10300.0,752.0,preventive,True,169,False,False,False
EQP-10D6BB2E,UNIT-5549,excavator,Hitachi,2022,open_pit,ghana,9226,2022-06-25,inspection,preventive,adjustment,routine,5.4,6961.74,780.0,preventive,True,61,False,False,False
EQP-64400A31,UNIT-6118,drill_rig,Sandvik,2014,underground,zambia,40855,2021-01-04,breakdown,compressor,general_component,minor,4.8,15148.1,169.0,corrective,False,103,False,False,False
EQP-5A14A6B1,UNIT-1335,haul_truck,Hitachi,2020,underground,botswana,16983,2023-10-31,overhaul,hydraulics,filter,major,20.8,46409.45,1599.0,major_overhaul,True,23,False,False,True
EQP-00BAC0BA,UNIT-2258,grader,Komatsu,2019,open_pit,south_africa,19800,2020-07-22,condition_based,transmission,clutch,routine,2.2,1750.39,30.0,predictive,False,39,False,False,False
EQP-67E7D39E,UNIT-3209,loader,Caterpillar,2015,open_pit,botswana,37606,2021-10-11,condition_based,engine,head_gasket,routine,3.0,4013.12,177.0,predictive,False,4,True,False,True
EQP-E3E26DE4,UNIT-2030,grader,Komatsu,2023,processing_plant,south_africa,4846,2022-08-15,scheduled_maintenance,preventive,inspection,minor,6.7,11961.61,69.0,preventive,True,15,False,False,False
EQP-FAC248CD,UNIT-4956,grader,Komatsu,2020,underground,south_africa,16041,2024-04-03,breakdown,blade,general_component,minor,5.1,12531.81,71.0,corrective,False,21,True,False,False
EQP-2EE7774D,UNIT-7014,pump,KSB,2022,underground,south_africa,8263,2024-10-23,condition_based,seal,general_component,routine,1.2,1697.54,109.0,predictive,False,100,False,False,False
EQP-BB1B58A7,UNIT-6889,haul_truck,Caterpillar,2009,underground,tanzania,59863,2024-01-12,scheduled_maintenance,preventive,inspection,routine,3.3,5003.25,468.0,preventive,True,26,True,True,False
EQP-57500E57,UNIT-5239,grader,Caterpillar,2015,underground,zimbabwe,36052,2022-05-22,overhaul,transmission,clutch,major,16.8,25092.97,208.0,major_overhaul,True,54,False,False,False
EQP-A0D2D4F7,UNIT-8694,conveyor,Metso,2023,processing_plant,botswana,3956,2020-06-01,breakdown,belt,general_component,minor,3.2,5109.17,1020.0,corrective,False,64,False,False,False
EQP-571CC3AA,UNIT-6086,drill_rig,Sandvik,2021,underground,zimbabwe,12381,2023-12-10,scheduled_maintenance,preventive,oil_change,routine,2.5,1137.36,69.0,preventive,True,1,False,False,False
EQP-BE431594,UNIT-1712,conveyor,Metso,2015,underground,drc,37739,2024-03-22,condition_based,belt,general_component,minor,4.1,5622.69,1957.0,predictive,False,2,False,False,False
EQP-980D1872,UNIT-7884,excavator,Komatsu,2009,open_pit,tanzania,58794,2022-04-30,scheduled_maintenance,preventive,oil_change,routine,4.0,8950.24,426.0,preventive,True,188,False,False,False
EQP-4374E4BF,UNIT-6170,excavator,Caterpillar,2012,open_pit,botswana,49142,2022-09-24,scheduled_maintenance,preventive,adjustment,routine,5.3,7021.3,1027.0,preventive,True,28,False,False,False
EQP-3FC72D2D,UNIT-6711,haul_truck,Komatsu,2017,underground,tanzania,27631,2024-03-10,condition_based,electrical,sensors,minor,7.1,20843.96,874.0,predictive,False,78,True,False,False
EQP-46373EE0,UNIT-6087,haul_truck,Belaz,2018,open_pit,zambia,25269,2020-08-25,condition_based,brakes,general_component,minor,8.4,12535.8,1125.0,predictive,False,166,False,False,False
EQP-88C6C59D,UNIT-5981,drill_rig,Caterpillar,2022,underground,tanzania,7666,2024-01-02,scheduled_maintenance,preventive,adjustment,routine,1.3,3384.31,40.0,preventive,True,26,False,False,False
EQP-10E32A4C,UNIT-1815,grader,Komatsu,2009,processing_plant,south_africa,60412,2022-07-11,scheduled_maintenance,preventive,adjustment,routine,2.4,1377.32,39.0,preventive,True,7,False,False,False
EQP-62CCEDE9,UNIT-6032,conveyor,Metso,2014,open_pit,botswana,39841,2023-05-20,scheduled_maintenance,preventive,oil_change,minor,2.9,5057.67,804.0,preventive,True,41,False,True,False
EQP-17214F68,UNIT-8153,conveyor,FLSmidth,2012,open_pit,botswana,46269,2020-12-09,scheduled_maintenance,preventive,oil_change,routine,1.9,1668.98,788.0,preventive,True,42,False,False,False
EQP-B02E829B,UNIT-3735,drill_rig,Epiroc,2023,underground,zambia,5738,2023-01-12,condition_based,drill_string,general_component,routine,1.2,1181.53,48.0,predictive,False,82,False,False,False
EQP-44364551,UNIT-6424,drill_rig,Sandvik,2010,open_pit,south_africa,55057,2021-04-27,condition_based,drill_string,general_component,routine,2.5,2245.65,114.0,predictive,False,43,False,False,False
EQP-B9D86A45,UNIT-1277,haul_truck,Belaz,2011,underground,south_africa,52083,2022-07-21,scheduled_maintenance,preventive,inspection,routine,3.4,2031.14,419.0,preventive,True,40,False,False,False
EQP-6D3D2F8D,UNIT-4127,loader,Komatsu,2012,underground,botswana,46947,2022-08-02,breakdown,engine,turbo,major,20.0,29902.25,1972.0,corrective,False,38,True,False,False
EQP-8344BA86,UNIT-4930,haul_truck,Belaz,2009,open_pit,tanzania,58662,2024-09-18,breakdown,engine,oil_pump,minor,6.1,15423.3,682.0,corrective,False,37,True,False,False
EQP-9C0BBE49,UNIT-9843,crusher,Metso,2018,underground,zimbabwe,23795,2023-04-21,scheduled_maintenance,preventive,adjustment,routine,6.0,11313.85,1397.0,preventive,True,93,True,False,False
EQP-4CAAAD13,UNIT-2931,loader,Komatsu,2016,underground,botswana,31406,2022-09-30,scheduled_maintenance,preventive,adjustment,minor,7.8,10813.66,420.0,preventive,True,21,False,False,False
